lat,lon
37.04487,-119.59612
37.04458,-119.59376
40.32808,-122.06485
40.32811,-122.06479
38.26879,-121.82411
38.26879,-121.82413
38.53738,-121.26336
38.53722,-121.26383
39.60068,-121.54987
39.6007,-121.5499
39.6008,-121.54997
39.6044,-121.55113
39.60433,-121.55117
39.60427,-121.55106
35.9855,-119.21206
35.9854,-119.21196
35.98517,-119.21084
39.89896,-121.98344
39.89893,-121.98347
